name,total,denisty,dem,gop,fips
"Dimmit County, Texas","9,996",7.52,"2,173",974,"48,127"
"Dinwiddie County, Virginia","28,001",55.59,"5,765","7,447","51,053"
"District of Columbia, District of Columbia","601,723","9,856.49","260,223","11,553","11,001"
"Divide County, North Dakota","2,071",1.64,243,860,"38,023"
"Dixie County, Florida","16,422",23.29,"1,270","5,822","12,029"
"Dixon County, Nebraska","6,000",12.6,556,"2,041","31,051"
"Do?a Ana County, New Mexico","209,233",54.95,"37,543","25,095","35,013"
"Doddridge County, West Virginia","8,202",25.65,360,"2,347","54,017"
"Dodge County, Minnesota","20,087",45.73,"3,102","6,527","27,039"
"Dodge County, Georgia","21,796",43.95,"1,836","5,021","13,091"
"Dodge County, Wisconsin","88,759",101.37,"13,968","26,643","55,027"
"Dodge County, Nebraska","36,691",69.4,"4,451","9,736","31,053"
"Dolores County, Colorado","2,064",1.93,227,936,"8,033"
"Doniphan County, Kansas","7,945",20.2,584,"2,601","20,043"
"Donley County, Texas","3,677",3.97,190,"1,225","48,129"
"Dooly County, Georgia","14,918",38.06,"1,860","1,941","13,093"
"Door County, Wisconsin","27,785",57.65,"8,026","8,584","55,029"
"Dorchester County, Maryland","32,618",60.32,"5,695","7,938","24,019"
"Dorchester County, South Carolina","136,555",238.22,"24,010","34,932","45,035"
"Dougherty County, Georgia","94,565",287.7,"23,224","10,227","13,095"
"Douglas County, Wisconsin","44,159",33.86,"11,342","9,657","55,031"
"Douglas County, South Dakota","3,002",6.95,214,"1,338","46,043"
"Douglas County, Colorado","285,465",339.74,"67,045","100,178","8,035"
"Douglas County, Washington","38,431",21.12,"3,600","7,208","53,017"
"Douglas County, Missouri","13,684",16.82,984,"5,486","29,067"
"Douglas County, Oregon","107,667",21.38,"13,891","34,112","41,019"
"Douglas County, Kansas","110,826",243.11,"30,089","14,308","20,045"
"Douglas County, Illinois","19,980",47.95,"1,946","5,695","17,041"
"Douglas County, Nebraska","517,110","1,574.37","105,207","102,151","31,055"
"Douglas County, Nevada","46,997",66.22,"8,453","17,406","32,005"
"Douglas County, Minnesota","36,009",56.5,"6,227","13,966","27,041"
"Douglas County, Georgia","132,403",661.79,"30,971","24,803","13,097"
"Drew County, Arkansas","18,509",22.34,"2,364","3,967","5,043"
"Dubois County, Indiana","41,889",98.04,"5,389","13,365","18,037"
"Dubuque County, Iowa","93,653",153.96,"22,774","23,384","19,061"
"Duchesne County, Utah","18,607",5.74,500,"5,505","49,013"
"Dukes County, Massachusetts","16,535",160.15,"8,338","2,474","25,007"
"Dundy County, Nebraska","2,008",2.18,89,823,"31,057"
"Dunklin County, Missouri","31,953",59.06,"2,360","8,026","29,069"
"Dunn County, North Dakota","3,536",1.76,356,"1,753","38,025"
"Dunn County, Wisconsin","43,857",51.59,"9,025","11,487","55,033"
"DuPage County, Illinois","916,924","2,799.78","222,499","164,355","17,043"
"Duplin County, North Carolina","58,505",71.68,"8,196","12,151","37,061"
"Durham County, North Carolina","267,587",935.7,"118,783","27,879","37,063"
"Dutchess County, New York","297,488",373.9,"56,874","58,163","36,027"
"Duval County, Texas","11,782",6.57,"2,783","1,316","48,131"
"Duval County, Florida","864,263","1,133.92","203,627","210,061","12,031"
"Dyer County, Tennessee","38,335",74.83,"2,815","10,175","47,045"
"Eagle County, Colorado","52,197",30.99,"12,652","8,153","8,037"
"Early County, Georgia","11,008",21.48,"2,165","2,552","13,099"
"East Baton Rouge Parish, Louisiana","440,171",966.62,"102,711","84,620","22,033"
"East Carroll Parish, Louisiana","7,759",18.44,"1,838","1,059","22,035"
"East Feliciana Parish, Louisiana","20,267",44.7,"4,235","5,569","22,037"
"Eastland County, Texas","18,583",20.06,776,"6,008","48,133"
"Eaton County, Michigan","107,759",187.35,"24,534","27,608","26,045"
"Eau Claire County, Wisconsin","98,736",154.76,"27,271","23,301","55,035"
"Echols County, Georgia","4,034",9.72,156,"1,006","13,101"
"Ector County, Texas","137,130",152.76,"10,225","24,976","48,135"
"Eddy County, North Dakota","2,385",3.78,354,790,"38,027"
"Eddy County, New Mexico","53,829",12.89,"5,008","13,124","35,015"
"Edgar County, Illinois","18,576",29.8,"1,778","5,634","17,045"
"Edgecombe County, North Carolina","56,552",111.91,"16,152","8,219","37,065"
"Edgefield County, South Carolina","26,985",53.93,"4,491","6,842","45,037"
"Edmonson County, Kentucky","12,161",40.15,979,"4,135","21,061"
"Edmunds County, South Dakota","4,071",3.62,380,"1,433","46,045"
"Edwards County, Illinois","6,721",30.22,432,"2,777","17,047"
"Edwards County, Texas","2,002",0.95,302,741,"48,137"
"Edwards County, Kansas","3,037",4.88,208,"1,033","20,047"
"Effingham County, Georgia","52,250",109.38,"4,851","17,865","13,103"
"Effingham County, Illinois","34,242",71.52,"3,071","13,613","17,049"
"El Dorado County, California","181,058",106.01,"35,243","47,633","6,017"
"El Paso County, Texas","800,647",790.61,"145,509","54,567","48,141"
"El Paso County, Colorado","622,263",292.58,"105,807","176,506","8,041"
"Elbert County, Colorado","23,086",12.47,"3,056","11,536","8,039"
"Elbert County, Georgia","20,166",57.44,"2,507","5,269","13,105"
"Elk County, Pennsylvania","31,946",38.61,"3,637","9,704","42,047"
"Elk County, Kansas","2,882",4.47,160,"1,048","20,049"
"Elkhart County, Indiana","197,559",426.54,"20,667","41,810","18,039"
"Elko County, Nevada","48,818",2.84,"3,400","13,542","32,007"
"Elliott County, Kentucky","7,852",33.51,740,"2,000","21,063"
"Ellis County, Kansas","28,452",31.62,"2,669","8,311","20,051"
"Ellis County, Oklahoma","4,151",3.37,155,"1,610","40,045"
"Ellis County, Texas","149,610",159.93,"16,197","44,807","48,139"
"Ellsworth County, Kansas","6,497",9.08,515,"1,933","20,053"
"Elmore County, Idaho","27,038",8.79,"1,814","5,816","16,039"
"Elmore County, Alabama","79,303",128.22,"8,436","27,619","1,051"
"Emanuel County, Georgia","22,598",33.2,"2,433","5,330","13,107"
"Emery County, Utah","10,976",2.46,379,"3,402","49,015"
"Emmet County, Michigan","32,694",69.93,"6,972","10,616","26,047"
"Emmet County, Iowa","10,302",26.02,"1,356","3,121","19,063"
"Emmons County, North Dakota","3,550",2.35,215,"1,672","38,029"
"Emporia city, Virginia","5,927",859.76,"1,531",792,"51,595"
"Erath County, Texas","37,890",34.98,"2,159","11,205","48,143"
"Erie County, Ohio","77,079",306.41,"15,692","19,301","39,043"
"Erie County, New York","919,040",881.41,"192,065","173,817","36,029"
"Erie County, Pennsylvania","280,566",351.08,"54,820","57,168","42,049"
"Escambia County, Florida","297,619",453.37,"57,114","88,370","12,033"
"Escambia County, Alabama","38,319",40.55,"4,698","10,282","1,053"
"Esmeralda County, Nevada",783,0.22,65,329,"32,009"
"Essex County, Vermont","6,306",9.5,"1,019","1,506","50,009"
"Essex County, Virginia","11,151",43.37,"2,541","2,657","51,057"
"Essex County, New Jersey","783,969","6,211.51","231,031","62,059","34,013"
"Essex County, New York","39,370",21.94,"6,760","7,275","36,031"
"Essex County, Massachusetts","743,159","1,508.76","220,027","135,405","25,009"
"Estill County, Kentucky","14,672",57.97,"1,108","4,236","21,065"
"Etowah County, Alabama","104,430",195.2,"10,350","32,132","1,055"
"Eureka County, Nevada","1,987",0.48,74,723,"32,011"
"Evangeline Parish, Louisiana","33,984",51.31,"4,208","10,357","22,039"
"Evans County, Georgia","11,000",60.16,"1,130","2,404","13,109"
"Fairfax city, Virginia","22,565","3,616.65","7,363","3,695","51,600"
"Fairfax County, Virginia","1,081,726","2,766.78","354,485","157,837","51,059"
"Fairfield County, Ohio","146,156",289.76,"24,150","43,163","39,045"
"Fairfield County, South Carolina","23,956",34.91,"6,936","4,024","45,039"
"Fairfield County, Connecticut","916,829","1,467.19","238,723","155,457","9,001"
"Fall River County, South Dakota","7,094",4.08,821,"2,511","46,047"
"Fallon County, Montana","2,890",1.78,154,"1,276","30,025"
"Falls Church city, Virginia","12,332","6,169.77","5,810","1,323","51,610"
"Falls County, Texas","17,866",23.34,"1,682","3,438","48,145"
"Fannin County, Texas","33,915",38.07,"2,123","9,536","48,147"
"Fannin County, Georgia","23,682",61.24,"1,920","9,622","13,111"
"Faribault County, Minnesota","14,553",20.43,"2,153","4,659","27,043"
"Faulk County, South Dakota","2,364",2.41,204,858,"46,049"
"Faulkner County, Arkansas","113,237",174.78,"14,525","29,170","5,045"
"Fauquier County, Virginia","65,203",100.71,"12,960","22,110","51,061"
"Fayette County, Alabama","17,241",27.47,"1,358","6,705","1,057"
"Fayette County, Illinois","22,140",30.9,"1,814","7,363","17,051"
"Fayette County, Texas","24,554",25.85,"2,127","8,648","48,149"
"Fayette County, Iowa","20,880",28.57,"3,666","5,591","19,065"
"Fayette County, Pennsylvania","136,606",172.84,"17,826","34,388","42,051"
"Fayette County, Tennessee","38,413",54.5,"5,865","13,046","47,047"
"Fayette County, Ohio","29,030",71.44,"2,672","7,763","39,047"
"Fayette County, West Virginia","46,039",69.59,"4,246","10,263","54,019"
"Fayette County, Kentucky","295,803","1,042.85","69,776","56,890","21,067"
"Fayette County, Georgia","106,567",548.35,"23,255","35,034","13,113"
"Fayette County, Indiana","24,277",112.91,"2,252","6,839","18,041"
"Fentress County, Tennessee","17,959",36.02,"1,100","6,032","47,049"
"Fergus County, Montana","11,586",2.67,"1,196","4,235","30,027"
"Ferry County, Washington","7,551",3.43,"1,091","2,178","53,019"
"Fillmore County, Minnesota","20,866",24.23,"3,872","6,271","27,045"
"Fillmore County, Nebraska","5,890",10.24,610,"2,100","31,059"
"Finney County, Kansas","36,776",28.25,"3,006","6,155","20,055"
"Fisher County, Texas","3,974",4.42,403,"1,265","48,151"
"Flagler County, Florida","95,696",197.12,"21,985","33,804","12,035"
"Flathead County, Montana","90,928",17.87,"13,233","30,079","30,029"
"Fleming County, Kentucky","14,348",41.17,"1,348","4,722","21,069"
"Florence County, Wisconsin","4,423",9.06,666,"1,897","55,037"
"Florence County, South Carolina","136,885",171.11,"26,630","29,498","45,041"
"Floyd County, Kentucky","39,451",100.3,"4,015","11,993","21,071"
"Floyd County, Texas","6,446",6.5,435,"1,473","48,153"
"Floyd County, Indiana","74,578",504.13,"13,939","21,427","18,043"
"Floyd County, Iowa","16,303",32.56,"3,177","4,371","19,067"
"Floyd County, Virginia","15,279",40.16,"2,300","5,289","51,063"
"Floyd County, Georgia","96,317",188.89,"9,127","24,045","13,115"
"Fluvanna County, Virginia","25,691",89.83,"5,751","7,018","51,065"
"Foard County, Texas","1,336",1.9,113,383,"48,155"
"Fond du Lac County, Wisconsin","101,633",141.24,"17,391","31,044","55,039"
"Ford County, Illinois","14,081",29,"1,410","4,474","17,053"
"Ford County, Kansas","33,848",30.82,"2,032","4,994","20,057"
"Forest County, Pennsylvania","7,716",18.06,626,"1,680","42,053"
"Forest County, Wisconsin","9,304",9.17,"1,583","2,787","55,041"
"Forrest County, Mississippi","74,934",160.69,"11,271","15,149","28,035"
"Forsyth County, North Carolina","350,670",859.17,"92,488","74,793","37,067"
"Forsyth County, Georgia","175,511",783.46,"23,427","69,801","13,117"
"Fort Bend County, Texas","585,375",679.5,"134,475","117,212","48,157"
"Foster County, North Dakota","3,343",5.26,346,"1,237","38,031"
"Fountain County, Indiana","17,240",43.57,"1,476","5,661","18,045"
"Franklin city, Virginia","8,582","1,045.85","2,516","1,421","51,620"
"Franklin County, Virginia","56,159",81.34,"7,254","18,560","51,067"
"Franklin County, Pennsylvania","149,618",193.75,"17,322","49,554","42,055"
"Franklin County, Illinois","39,561",96.75,"4,711","13,101","17,055"
"Franklin County, Tennessee","41,052",74.03,"4,372","11,526","47,051"
"Franklin County, Idaho","12,786",19.27,385,"3,901","16,041"
"Franklin County, Florida","11,549",21.6,"1,738","4,119","12,037"
"Franklin County, Maine","30,768",18.14,"7,001","7,900","23,007"
"Franklin County, Iowa","10,680",18.35,"1,490","3,153","19,069"
"Franklin County, North Carolina","60,619",123.29,"12,811","16,320","37,069"
"Franklin County, Nebraska","3,225",5.6,250,"1,345","31,061"
"Franklin County, Washington","78,163",62.92,"7,839","11,358","53,021"
"Franklin County, Indiana","23,087",60.06,"1,967","8,665","18,047"
"Franklin County, Kansas","25,992",45.46,"2,829","7,025","20,059"
"Franklin County, Arkansas","18,125",29.77,"1,376","5,034","5,047"
"Franklin County, Alabama","31,704",50.02,"2,197","9,466","1,059"
"Franklin County, Ohio","1,163,414","2,186.10","335,961","192,328","39,049"
"Franklin County, Texas","10,605",37.29,665,"3,583","48,159"
"Franklin County, Mississippi","8,118",14.4,"1,471","2,685","28,037"
"Franklin County, Massachusetts","71,372",102.06,"24,369","10,327","25,011"
"Franklin County, Vermont","47,746",75.34,"9,351","8,752","50,011"
"Franklin County, Kentucky","49,285",237.24,"10,717","11,819","21,073"
"Franklin County, Georgia","22,084",84.45,"1,243","7,054","13,119"
"Franklin County, New York","51,599",31.67,"6,517","7,636","36,033"
"Franklin County, Missouri","101,492",110,"12,339","35,420","29,071"
"Franklin Parish, Louisiana","20,767",33.25,"2,506","6,514","22,041"
"Frederick County, Maryland","233,385",353.5,"51,891","56,472","24,021"
"Frederick County, Virginia","78,305",189.37,"11,920","26,069","51,069"
"Fredericksburg city, Virginia","24,286","2,326.21","6,690","3,731","51,630"
"Freeborn County, Minnesota","31,255",44.2,"6,041","8,808","27,047"
"Freestone County, Texas","19,816",22.58,"1,461","5,995","48,161"
"Fremont County, Idaho","13,242",7.11,651,"4,091","16,043"
"Fremont County, Colorado","46,824",30.54,"5,275","15,066","8,043"
"Fremont County, Wyoming","40,123",4.37,"4,200","11,167","56,013"
"Fremont County, Iowa","7,441",14.56,959,"2,401","19,071"
"Fresno County, California","930,450",156.17,"123,660","113,949","6,019"
"Frio County, Texas","17,217",15.19,"1,401","1,232","48,163"
"Frontier County, Nebraska","2,756",2.83,161,"1,106","31,063"
"Fulton County, Pennsylvania","14,845",33.93,904,"5,676","42,057"
"Fulton County, Indiana","20,836",56.56,"1,960","6,010","18,049"
"Fulton County, Illinois","37,069",42.82,"6,118","8,482","17,057"
"Fulton County, Kentucky","6,813",33.15,774,"1,549","21,075"
"Fulton County, Georgia","920,581","1,748.05","281,875","110,372","13,121"
"Fulton County, New York","55,531",112.08,"5,805","12,759","36,035"
"Fulton County, Ohio","42,698",105.31,"5,981","13,419","39,051"
"Fulton County, Arkansas","12,245",19.81,"1,067","3,470","5,049"
"Furnas County, Nebraska","4,959",6.9,304,"1,915","31,065"
"Gadsden County, Florida","46,389",89.84,"14,994","6,721","12,039"
"Gage County, Nebraska","22,311",26.2,"2,930","6,333","31,067"
"Gaines County, Texas","17,526",11.67,597,"3,907","48,165"
"Galax city, Virginia","7,042",854.65,680,"1,603","51,640"
"Gallatin County, Illinois","5,589",17.3,656,"1,942","17,059"
"Gallatin County, Montana","89,513",34.39,"23,879","23,360","30,031"
"Gallatin County, Kentucky","8,589",84.84,749,"2,443","21,077"
"Gallia County, Ohio","30,934",66.31,"2,564","9,567","39,053"
"Galveston County, Texas","291,309",769.93,"45,503","73,566","48,167"
"Garden County, Nebraska","2,057",1.21,153,869,"31,069"
"Garfield County, Utah","5,172",1,352,"1,577","49,017"
"Garfield County, Montana","1,206",0.26,34,653,"30,033"
"Garfield County, Washington","2,266",3.19,276,841,"53,023"
"Garfield County, Nebraska","2,049",3.6,121,819,"31,071"
"Garfield County, Colorado","56,389",19.13,"11,205","13,071","8,045"
"Garfield County, Oklahoma","60,580",57.23,"4,391","15,998","40,047"
"Garland County, Arkansas","96,024",141.67,"12,283","26,053","5,051"
"Garrard County, Kentucky","16,912",73.51,"1,453","5,904","21,079"
"Garrett County, Maryland","30,097",46.51,"2,252","10,189","24,023"
"Garvin County, Oklahoma","27,576",34.38,"1,852","8,243","40,049"
"Garza County, Texas","6,461",7.23,224,"1,223","48,169"
"Gasconade County, Missouri","15,222",29.4,"1,519","5,670","29,073"
"Gaston County, North Carolina","206,086",578.85,"30,982","61,467","37,071"
"Gates County, North Carolina","12,197",35.83,"2,371","2,851","37,073"
"Geary County, Kansas","34,362",89.34,"2,569","4,116","20,061"
"Geauga County, Ohio","93,389",233.38,"17,165","29,577","39,055"
"Gem County, Idaho","16,719",29.81,"1,229","5,980","16,045"
"Genesee County, New York","60,079",121.88,"6,946","15,986","36,037"
"Genesee County, Michigan","425,790",668.45,"102,744","84,174","26,049"
"Geneva County, Alabama","26,790",46.64,"1,522","9,967","1,061"
"Gentry County, Missouri","6,738",13.71,605,"2,304","29,075"
"George County, Mississippi","22,578",47.16,"1,013","8,652","28,039"
"Georgetown County, South Carolina","60,158",73.95,"13,234","17,334","45,043"
"Gibson County, Indiana","33,503",68.73,"3,720","11,079","18,051"
"Gibson County, Tennessee","49,683",82.43,"5,255","13,779","47,053"
"Gila County, Arizona","53,597",11.26,"6,746","13,672","4,007"
"Gilchrist County, Florida","16,939",48.44,"1,457","6,740","12,041"
"Giles County, Tennessee","29,485",48.26,"2,915","7,964","47,055"
"Giles County, Virginia","17,286",48.59,"1,949","5,930","51,071"
"Gillespie County, Texas","24,837",23.47,"2,286","10,445","48,171"
"Gilliam County, Oregon","1,871",1.55,221,632,"41,021"
"Gilmer County, West Virginia","8,693",25.68,537,"1,889","54,021"
"Gilmer County, Georgia","28,292",66.33,"1,955","10,465","13,123"
"Gilpin County, Colorado","5,441",36.3,"1,634","1,564","8,047"
"Glacier County, Montana","13,399",4.47,"3,076","1,598","30,035"
"Glades County, Florida","12,884",15.98,"1,271","2,996","12,043"
"Gladwin County, Michigan","25,692",51.2,"3,794","8,124","26,051"
"Glascock County, Georgia","3,082",21.44,138,"1,235","13,125"
"Glasscock County, Texas","1,226",1.36,34,553,"48,173"
"Glenn County, California","28,122",21.4,"3,065","5,788","6,021"
"Gloucester County, Virginia","36,858",169.22,"5,399","13,087","51,073"
"Gloucester County, New Jersey","288,288",895.29,"66,355","66,949","34,015"
"Glynn County, Georgia","79,626",189.7,"11,738","21,482","13,127"
"Gogebic County, Michigan","16,427",14.91,"2,925","4,019","26,053"
"Golden Valley County, Montana",884,0.75,71,365,"30,037"
"Golden Valley County, North Dakota","1,680",1.68,99,793,"38,033"
"Goliad County, Texas","7,210",8.46,973,"2,618","48,175"
"Gonzales County, Texas","19,807",18.57,"1,567","4,580","48,177"
"Goochland County, Virginia","21,717",77.17,"4,884","8,374","51,075"
"Goodhue County, Minnesota","46,183",61.02,"9,446","14,041","27,049"
"Gooding County, Idaho","15,464",21.21,930,"3,743","16,047"
"Gordon County, Georgia","55,186",155.1,"3,176","15,171","13,129"
"Goshen County, Wyoming","13,249",5.95,924,"4,418","56,015"
"Gosper County, Nebraska","2,044",4.46,165,792,"31,073"
"Gove County, Kansas","2,695",2.51,149,"1,127","20,063"
"Grady County, Oklahoma","52,431",47.64,"3,878","17,293","40,051"
"Grady County, Georgia","25,011",55.03,"3,005","6,047","13,131"
"Grafton County, New Hampshire","89,118",52.15,"28,510","19,010","33,009"
"Graham County, North Carolina","8,861",30.34,761,"3,260","37,075"
"Graham County, Arizona","37,220",8.05,"3,301","8,025","4,009"
"Graham County, Kansas","2,597",2.89,185,"1,013","20,065"
"Grainger County, Tennessee","22,657",80.74,"1,154","6,618","47,057"
"Grand County, Utah","9,225",2.51,"1,932","1,934","49,019"
"Grand County, Colorado","14,843",8.04,"3,319","4,467","8,049"
"Grand Forks County, North Dakota","66,861",46.55,"10,828","16,325","38,035"
"Grand Isle County, Vermont","6,970",85.2,"2,094","1,487","50,013"
"Grand Traverse County, Michigan","86,986",187.34,"20,964","27,412","26,055"
"Granite County, Montana","3,079",1.78,469,"1,185","30,039"
"Grant County, Indiana","70,061",169.2,"7,029","17,009","18,053"
"Grant County, Wisconsin","51,208",44.65,"10,047","12,347","55,043"
"Grant County, Nebraska",614,0.79,20,367,"31,075"
"Grant County, South Dakota","7,356",10.79,970,"2,381","46,051"
"Grant County, Kentucky","24,662",95.6,"1,910","7,268","21,081"
"Grant County, West Virginia","11,937",25.01,510,"4,338","54,023"
"Grant County, Washington","89,120",33.26,"7,768","18,482","53,025"
"Grant County, Kansas","7,829",13.62,427,"1,755","20,067"
"Grant County, Oklahoma","4,527",4.52,287,"1,827","40,053"
"Grant County, North Dakota","2,394",1.44,187,"1,098","38,037"
"Grant County, Minnesota","6,018",10.98,"1,104","2,063","27,051"
"Grant County, New Mexico","29,514",7.45,"6,226","5,251","35,017"
"Grant County, Oregon","7,445",1.64,732,"3,187","41,023"
"Grant County, Arkansas","17,853",28.26,"1,407","5,160","5,053"
"Grant Parish, Louisiana","22,309",34.69,"1,181","7,406","22,043"
"Granville County, North Carolina","59,916",112.72,"12,827","13,500","37,077"
"Gratiot County, Michigan","42,476",74.72,"5,665","9,878","26,057"
"Graves County, Kentucky","37,121",67.28,"3,308","12,671","21,083"
"Gray County, Kansas","6,006",6.91,257,"1,651","20,069"
"Gray County, Texas","22,535",24.34,699,"6,495","48,179"
"Grays Harbor County, Washington","72,797",38.27,"11,378","13,269","53,027"
"Grayson County, Kentucky","25,746",51.83,"1,959","8,219","21,085"
"Grayson County, Texas","120,877",129.58,"10,276","35,274","48,181"
"Grayson County, Virginia","15,533",35.13,"1,407","5,593","51,077"
"Greeley County, Nebraska","2,538",4.45,210,911,"31,077"
"Greeley County, Kansas","1,247",1.6,83,523,"20,071"
"Green County, Wisconsin","36,842",63.09,"9,121","8,693","55,045"
"Green County, Kentucky","11,258",39.36,832,"4,372","21,087"
"Green Lake County, Wisconsin","19,051",54.52,"2,700","6,210","55,047"
"Greenbrier County, West Virginia","35,480",34.8,"3,743","9,499","54,025"
"Greene County, Illinois","13,886",25.57,"1,202","4,139","17,061"
"Greene County, New York","49,221",76.06,"6,370","11,546","36,039"
"Greene County, Arkansas","42,090",72.86,"3,056","10,698","5,055"
"Greene County, North Carolina","21,362",80.33,"3,570","4,358","37,079"
"Greene County, Virginia","18,403",117.78,"2,923","5,943","51,079"
"Greene County, Ohio","161,573",390.53,"28,023","47,506","39,057"
"Greene County, Mississippi","14,400",20.2,956,"4,309","28,041"
"Greene County, Alabama","9,045",13.98,"4,006",838,"1,063"
"Greene County, Missouri","275,174",407.48,"42,400","77,387","29,077"
"Greene County, Tennessee","68,831",110.63,"4,211","18,538","47,059"
"Greene County, Georgia","15,994",41.28,"3,194","5,488","13,133"
"Greene County, Indiana","33,165",61.13,"2,929","10,275","18,055"
"Greene County, Pennsylvania","38,686",67.17,"4,157","10,394","42,059"
"Greene County, Iowa","9,336",16.39,"1,688","2,819","19,073"
"Greenlee County, Arizona","8,437",4.58,"1,092","1,892","4,011"
"Greensville County, Virginia","12,243",41.47,"2,558","1,737","51,081"
"Greenup County, Kentucky","36,910",107.17,"4,146","11,546","21,089"
"Greenville County, South Carolina","451,225",574.72,"73,338","125,595","45,045"
"Greenwood County, South Carolina","69,661",153.19,"10,633","16,881","45,047"
"Greenwood County, Kansas","6,689",5.85,484,"2,146","20,073"
"Greer County, Oklahoma","6,239",9.76,323,"1,482","40,055"
"Gregg County, Texas","121,730",445.4,"11,623","28,693","48,183"
"Gregory County, South Dakota","4,271",4.21,391,"1,600","46,053"
"Grenada County, Mississippi","21,906",51.9,"4,386","5,940","28,043"
"Griggs County, North Dakota","2,420",3.41,298,847,"38,039"
"Grimes County, Texas","26,604",33.78,"2,194","7,065","48,185"
"Grundy County, Illinois","50,063",119.76,"8,021","13,417","17,063"
"Grundy County, Missouri","10,261",23.57,780,"3,462","29,079"
"Grundy County, Tennessee","13,703",38.01,998,"3,626","47,061"
"Grundy County, Iowa","12,453",24.81,"1,847","4,516","19,075"
"Guadalupe County, Texas","131,533",184.92,"18,308","36,495","48,187"
"Guadalupe County, New Mexico","4,687",1.55,962,591,"35,019"
"Guernsey County, Ohio","40,087",76.76,"4,286","11,164","39,059"
"Guilford County, North Carolina","488,406",756.39,"147,949","97,461","37,081"
"Gulf County, Florida","15,863",28.13,"1,715","5,320","12,045"
"Gunnison County, Colorado","15,324",4.73,"5,068","3,250","8,051"
"Guthrie County, Iowa","10,954",18.55,"1,720","3,603","19,077"
"Gwinnett County, Georgia","805,321","1,871.17","165,063","146,463","13,135"
"Haakon County, South Dakota","1,937",1.07,77,936,"46,055"
"Habersham County, Georgia","43,041",155.53,"2,483","13,184","13,137"
"Hale County, Texas","36,273",36.1,"2,090","6,347","48,189"
"Hale County, Alabama","15,760",24.47,"4,772","3,172","1,065"
"Halifax County, North Carolina","54,691",75.53,"15,642","8,954","37,083"
"Halifax County, Virginia","36,241",44.31,"6,890","9,698","51,083"
"Hall County, Texas","3,353",3.8,164,891,"48,191"
"Hall County, Georgia","179,684",457.47,"16,153","51,681","13,139"
"Hall County, Nebraska","58,607",107.28,"6,142","14,139","31,079"
"Hamblen County, Tennessee","62,544",388.04,"4,075","15,839","47,063"
"Hamilton County, New York","4,836",2.82,752,"1,795","36,041"
"Hamilton County, Illinois","8,457",19.46,800,"3,205","17,065"
"Hamilton County, Texas","8,517",10.19,479,"3,056","48,193"
"Hamilton County, Ohio","802,374","1,976.73","207,587","169,972","39,061"
"Hamilton County, Indiana","274,569",696.4,"57,214","87,299","18,057"
"Hamilton County, Tennessee","336,463",620.29,"55,260","78,661","47,065"
"Hamilton County, Iowa","15,673",27.17,"2,715","4,450","19,079"
"Hamilton County, Nebraska","9,124",16.81,873,"3,763","31,081"
"Hamilton County, Kansas","2,690",2.7,114,690,"20,075"
"Hamilton County, Florida","14,799",28.8,"1,899","3,439","12,047"
"Hamlin County, South Dakota","5,903",11.64,555,"2,051","46,057"
"Hampden County, Massachusetts","463,490",751.03,"110,313","78,230","25,013"
"Hampshire County, West Virginia","23,964",37.43,"1,576","6,646","54,027"
"Hampshire County, Massachusetts","158,080",299.82,"54,572","22,089","25,015"
"Hampton city, Virginia","137,436","2,673.16","41,030","17,802","51,650"
"Hampton County, South Carolina","21,090",37.67,"5,163","3,483","45,049"
"Hancock County, Iowa","11,341",19.86,"1,582","3,972","19,081"
"Hancock County, Kentucky","8,565",45.64,"1,244","2,788","21,091"
"Hancock County, Tennessee","6,819",30.67,322,"1,842","47,067"
"Hancock County, Ohio","74,782",140.74,"9,419","23,777","39,063"
"Hancock County, Maine","54,418",34.29,"16,107","13,682","23,009"
"Hancock County, West Virginia","30,676",371.34,"3,247","8,870","54,029"
"Hancock County, Illinois","19,104",24.07,"1,744","5,713","17,067"
"Hancock County, Mississippi","43,929",92.73,"3,320","13,720","28,045"
"Hancock County, Indiana","70,002",228.75,"8,901","25,050","18,059"
"Hancock County, Georgia","9,429",19.98,"2,695",841,"13,141"
"Hand County, South Dakota","3,431",2.39,334,"1,391","46,059"
"Hanover County, Virginia","99,863",213.14,"19,360","39,592","51,085"
"Hansford County, Texas","5,613",6.1,171,"1,730","48,195"
"Hanson County, South Dakota","3,331",7.67,424,"1,497","46,061"
"Haralson County, Georgia","28,780",102,"1,474","9,579","13,143"
"Hardee County, Florida","27,731",43.48,"2,147","5,238","12,049"
"Hardeman County, Tennessee","27,253",40.81,"4,174","4,912","47,069"
"Hardeman County, Texas","4,139",5.95,249,"1,207","48,197"
"Hardin County, Tennessee","26,026",45.08,"1,622","8,012","47,071"
"Hardin County, Illinois","4,320",24.33,419,"1,650","17,069"
"Hardin County, Ohio","32,058",68.15,"2,870","8,541","39,065"
"Hardin County, Texas","54,635",61.35,"2,779","19,600","48,199"
"Hardin County, Kentucky","105,543",169.34,"13,944","26,970","21,093"
"Hardin County, Iowa","17,534",30.8,"2,774","5,231","19,083"
"Harding County, New Mexico",695,0.33,156,311,"35,021"
"Harding County, South Dakota","1,255",0.47,38,694,"46,063"
"Hardy County, West Virginia","14,025",24.09,"1,249","4,544","54,031"
"Harford County, Maryland","244,826",560.13,"43,803","74,261","24,025"
"Harlan County, Nebraska","3,423",6.18,219,"1,302","31,083"
"Harlan County, Kentucky","29,278",62.85,"1,372","9,129","21,095"
